epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2507.51,1.10931,0.98498,1.26364,0.75833,0.61901,0.70287,0.39429,1.53308,1.16698,1.50074,0.0088318,0.0088318,0.0088318
61,2548.24,1.109,0.99905,1.25837,0.73637,0.6125,0.68192,0.39025,1.50994,1.20861,1.46752,0.008812,0.008812,0.008812
62,2588.96,1.10725,0.98183,1.25293,0.74731,0.6194,0.6974,0.40038,1.49234,1.16039,1.45775,0.0087922,0.0087922,0.0087922
63,2629.71,1.11374,0.97864,1.26046,0.71756,0.62695,0.6782,0.38725,1.50565,1.18667,1.47517,0.0087724,0.0087724,0.0087724
64,2670.41,1.09851,0.97043,1.25313,0.76335,0.60725,0.69442,0.3915,1.50564,1.18748,1.46817,0.0087526,0.0087526,0.0087526
65,2711.13,1.09184,0.96773,1.24999,0.72804,0.62594,0.68378,0.39118,1.50639,1.18256,1.4807,0.0087328,0.0087328,0.0087328
66,2751.92,1.08892,0.9507,1.24653,0.77449,0.61684,0.71501,0.40777,1.49598,1.15546,1.45972,0.008713,0.008713,0.008713
67,2792.72,1.09402,0.94533,1.25214,0.71547,0.65794,0.71602,0.4075,1.50925,1.15375,1.46651,0.0086932,0.0086932,0.0086932
68,2833.55,1.09596,0.95605,1.2456,0.75671,0.62244,0.7141,0.40704,1.47981,1.12692,1.44578,0.0086734,0.0086734,0.0086734
69,2874.26,1.09302,0.95835,1.24827,0.80159,0.62127,0.72633,0.41302,1.47907,1.11,1.44674,0.0086536,0.0086536,0.0086536
70,2914.88,1.09402,0.94575,1.24442,0.76198,0.62849,0.70341,0.40355,1.48797,1.13139,1.45101,0.0086338,0.0086338,0.0086338
71,2955.53,1.07706,0.92917,1.23508,0.76838,0.61664,0.71425,0.40216,1.47523,1.12101,1.44668,0.008614,0.008614,0.008614
72,2996.25,1.07735,0.92411,1.23999,0.75152,0.65931,0.72804,0.41363,1.47841,1.08907,1.44326,0.0085942,0.0085942,0.0085942
73,3036.99,1.09106,0.94186,1.25128,0.7658,0.62405,0.71201,0.39894,1.4678,1.1114,1.43837,0.0085744,0.0085744,0.0085744
74,3077.54,1.0955,0.95056,1.2467,0.74826,0.65446,0.71906,0.40562,1.49127,1.11972,1.45156,0.0085546,0.0085546,0.0085546
75,3118.28,1.08518,0.93379,1.24562,0.75899,0.6481,0.72794,0.41455,1.46075,1.09577,1.44466,0.0085348,0.0085348,0.0085348
76,3159.06,1.06934,0.92506,1.24043,0.72408,0.68586,0.73821,0.41972,1.46663,1.09469,1.43314,0.008515,0.008515,0.008515
77,3199.85,1.09074,0.93016,1.24512,0.78084,0.67269,0.73699,0.41441,1.46504,1.08118,1.42961,0.0084952,0.0084952,0.0084952
78,3240.58,1.07881,0.92056,1.24169,0.75227,0.6828,0.7259,0.40494,1.49854,1.09686,1.46697,0.0084754,0.0084754,0.0084754
79,3281.55,1.08409,0.91324,1.24147,0.78239,0.64436,0.72515,0.41359,1.47799,1.09209,1.44209,0.0084556,0.0084556,0.0084556
80,3323.51,1.06337,0.91394,1.22935,0.76439,0.6546,0.7236,0.41441,1.46887,1.08644,1.42388,0.0084358,0.0084358,0.0084358
81,3365.46,1.06507,0.90031,1.22809,0.79134,0.66151,0.7434,0.41989,1.47795,1.09083,1.44473,0.008416,0.008416,0.008416
82,3407.41,1.07709,0.91412,1.2341,0.78598,0.64982,0.72037,0.40999,1.47553,1.07815,1.42528,0.0083962,0.0083962,0.0083962
